GEOID,percent_flood_100,percent_flood_500,percent_tidal,blue_percent,asthma,diabetes,vulnerable_age,minority_rate,old_home_rate,low_income_rate,unemployment_rate
11001003702,0,0,0,4.887877551,11,7.4,17.97513321,49.27175844,83.30341113,33.35535007,16.16204691
11001000803,0,0,0,9.76400406,9.8,6.5,34.07378025,26.77508925,69.49481865,21.33956386,45.12022631
11001003801,0,0,0,2.070345404,9,3.8,11.22853369,17.7675033,77.68361582,5.015045135,4.92371706
11001000904,2.08493592,2.282838604,0,6.21545187,9,7.5,33.16923077,26.67692308,62.44131455,6.884970613,37.16108453
11001000704,0,0,0,1.497319531,9.8,5.9,22.12978369,26.08153078,90.27058146,23.1824417,24.68265162
11001001304,8.889273572,10.18338148,0,2.373727417,9.1,4.3,17.34019104,30.44330149,84.19153821,14.60714286,19.36379702
11001001303,6.202388151,6.392772521,0,1.077425137,9.6,6.3,25.92592593,30.11026293,57.73584906,19.574845,26.48809524
11001002704,5.189249464,5.472536989,0,0.939759083,9.8,5.8,6.731740155,50.55536856,91.27105666,21.66153846,5.833985904
11001002503,0,0,0,5.927453285,9.7,5.3,12.61601925,66.6208319,41.90628328,6.920821114,13.26836582
11001005601,2.327407958,6.170999566,1.082763187,7.773524779,9.7,3.9,12.67942584,34.56937799,83.71886121,37.24899598,24.86879289
11001005501,0,0,0,16.98615404,8.9,3.9,10.28993746,20.40932348,36.07361963,11.32966168,19.42528736
11001005602,7.081440406,22.7743002,2.745234322,11.1401245,9,6,27.76400595,35.82052553,88.63942524,26.36639676,49.35475375
11001005502,0,0,0,4.245351132,9.2,4.9,21.43144351,28.46803378,80.89020772,22.48558616,27.44932432
11001005303,0,0,0,13.66669661,9.2,4.3,16.34039153,31.12265282,78.90625,16.37279597,25.08183306
11001010202,15.27864297,24.27818224,11.56806024,27.49855075,10.1,6.5,22.42328875,48.58379229,43.69369369,24.70876763,18.05132666
11001980000,70.14531866,76.28954616,47.49913116,53.56827675,10.5,8.7,0,0,0,0,0
11001007202,0,11.48643092,0,13.32658089,9.2,2.2,4.028886355,22.36792094,2.992957746,9.252570158,5.686653772
11001005202,0,0,0,5.193948762,8.8,4.7,17.18802556,16.61621258,69.9456029,11.92307692,18.31081081
11001005203,0,0,0,8.777713133,9,4.1,11.91393706,44.73346179,54.17607223,14.53537937,10.39215686
11001005003,0,0,0,7.1687785,9.7,4.3,1.245753114,36.57984145,61.2687813,16.56222023,13.99200457
11001005004,0,0,0,6.149129936,10.2,7.6,17.66135566,48.63624089,66.73622705,37.30684327,23.26219512
11001007201,45.79880645,62.8049989,29.9493898,32.93044235,9.1,2.6,0.315789474,33.75438596,7.90144435,9.310018904,2.149362477
11001005802,0.013695517,9.896328006,0,2.289243503,9.2,5.3,11.98347107,39.15289256,29.38701923,13.82589612,15.91263651
